xid,status
735,committed
758,committed
759,committed
761,committed
762,committed
763,committed
764,committed
765,aborted
766,committed
767,committed
768,committed
769,committed
770,committed
771,committed
772,committed
773,aborted
774,aborted
775,aborted
776,aborted
777,committed
778,committed
779,aborted
780,committed
781,committed
782,committed
783,committed
784,committed
785,committed
786,committed
787,committed
788,aborted
789,committed
790,in_progress
791,in_progress
792,in_progress
793,in_progress
794,committed
795,committed
796,committed
797,committed
798,committed
799,committed
800,committed
801,aborted
802,aborted
803,committed
