account_id,region_code,balance_cents,is_active,risk_tier,opened_on,owner_note
1,SA-EAST-1,250001,t,2,2019-02-07,\N
2,ME-CENTRAL,250002,t,3,2019-03-16,settled 2
3,AP-SOUTH-1,250003,f,4,2019-04-22,\N
4,EU-NORTH-1,250004,t,1,2019-05-29,settled 4
5,US-EAST-2,250005,t,2,2019-07-05,\N
6,US-WEST-1,250006,f,3,2019-08-11,settled 6
7,EU-NORTH-1,310007,t,3,2019-09-17,regional transfer
8,EU-NORTH-1,310008,t,4,2019-10-24,regional transfer
9,EU-NORTH-1,310009,f,5,2019-11-30,regional transfer
10,EU-NORTH-1,310010,t,1,2020-01-06,regional transfer
11,EU-NORTH-1,310011,t,\N,2020-02-12,regional transfer
12,EU-NORTH-1,310012,f,3,2020-03-20,regional transfer
18,EU-NORTH-1,242542,f,4,2020-10-28,\N
19,US-EAST-2,250461,t,5,2020-12-04,tier upgrade
20,US-WEST-1,258380,t,1,2021-01-10,ueberprueft 2024
21,EU-WEST-1,266299,f,2,2021-02-16,\N
22,SA-EAST-1,274218,t,\N,2021-03-25,re-audit pendiente
23,ME-CENTRAL,282137,t,4,2021-05-01,dormant account
24,AP-SOUTH-1,290056,f,5,2021-06-07,\N
25,EU-NORTH-1,297975,t,1,2021-07-14,manual review
26,US-EAST-2,305894,t,2,2021-08-20,watchlist
27,US-WEST-1,313813,f,3,2021-09-26,"priority, escalated"
28,EU-WEST-1,321732,t,4,2021-11-02,kyc refresh
29,SA-EAST-1,500029,t,3,2021-12-09,late but committed
30,US-WEST-1,500030,f,3,2022-01-15,late but committed
31,EU-NORTH-1,500031,t,3,2022-02-21,late but committed
32,ME-CENTRAL,500032,t,3,2022-03-30,late but committed
33,EU-WEST-1,500033,f,3,2022-05-06,late but committed
34,US-EAST-2,500034,t,3,2022-06-12,late but committed
35,EU-WEST-1,377165,t,1,2022-07-19,dormant account
36,SA-EAST-1,385084,f,2,2022-08-25,\N
37,ME-CENTRAL,393003,t,3,2022-10-01,manual review
38,AP-SOUTH-1,400922,t,4,2022-11-07,watchlist
39,EU-NORTH-1,408841,f,5,2022-12-14,"priority, escalated"
40,US-EAST-2,416760,t,1,2023-01-20,kyc refresh
41,US-WEST-1,424679,t,2,2023-02-26,verified
42,EU-WEST-1,432598,f,3,2023-04-04,\N
43,SA-EAST-1,440517,t,4,2023-05-11,tier upgrade
44,ME-CENTRAL,448436,t,\N,2023-06-17,ueberprueft 2024
45,AP-SOUTH-1,456355,f,1,2023-07-24,\N
46,EU-NORTH-1,464274,t,2,2023-08-30,re-audit pendiente
47,US-EAST-2,472193,t,3,2023-10-06,dormant account
48,US-WEST-1,480112,f,4,2023-11-12,\N
49,EU-WEST-1,488031,t,5,2023-12-19,manual review
50,SA-EAST-1,495950,t,1,2024-01-25,watchlist
51,ME-CENTRAL,503869,f,2,2024-03-02,"priority, escalated"
52,AP-SOUTH-1,511788,t,3,2024-04-08,kyc refresh
53,EU-NORTH-1,519707,t,4,2024-05-15,verified
54,US-EAST-2,527626,f,5,2024-06-21,\N
55,US-WEST-1,535545,t,\N,2024-07-28,tier upgrade
56,EU-WEST-1,543464,t,2,2024-09-03,ueberprueft 2024
57,SA-EAST-1,551383,f,3,2024-10-10,\N
58,ME-CENTRAL,559302,t,4,2024-11-16,re-audit pendiente
59,AP-SOUTH-1,567221,t,5,2024-12-23,dormant account
60,EU-NORTH-1,575140,f,1,2019-01-21,\N
61,US-EAST-2,583059,t,2,2019-02-27,manual review
62,US-WEST-1,590978,t,3,2019-04-05,watchlist
63,EU-WEST-1,598897,f,4,2019-05-12,"priority, escalated"
64,SA-EAST-1,606816,t,5,2019-06-18,kyc refresh
65,ME-CENTRAL,614735,t,1,2019-07-25,verified
1001,EU-WEST-1,826919,t,\N,2024-01-12,verified
1002,SA-EAST-1,834838,f,3,2024-02-18,\N
1003,ME-CENTRAL,842757,t,4,2024-03-26,tier upgrade
1004,AP-SOUTH-1,850676,t,5,2024-05-02,ueberprueft 2024
1005,EU-NORTH-1,858595,f,1,2024-06-08,\N
1006,US-EAST-2,866514,t,2,2024-07-15,re-audit pendiente
1007,US-WEST-1,874433,t,3,2024-08-21,dormant account
